scenario,event_id,market_id,decision_at,settlement_at,side,observed_price,simulated_entry_price,shares,fees,cost,payout,pnl,cluster,availability_verified
optimistic,101762,906891,1788739200,1789623105,NO,0.907,0.912,10.92,0.0350558208,9.9940958208,0.00,-9.9940958208,2026-09-07,False
optimistic,91232,706183,1788739200,1789009759,NO,0.9605,0.9655,10.34,0.013776912600,9.997046912600,10.34,0.342953087400,2026-09-07,False
base,101762,906891,1788739200,1789623105,NO,0.907,0.917,10.84,0.0577530268,9.9980330268,0.00,-9.9980330268,2026-09-07,False
base,91232,706183,1788739200,1789009759,NO,0.9605,0.9705,10.28,0.020601968100,9.997341968100,10.28,0.282658031900,2026-09-07,False
conservative,101762,906891,1788739200,1789623105,NO,0.907,0.937,10.60,0.0625728600,9.9947728600,0.00,-9.9947728600,2026-09-07,False
conservative,91232,706183,1788739200,1789009759,NO,0.9605,0.9905,10.08,0.009485028000,9.993725028000,10.08,0.086274972000,2026-09-07,False
