scenario,event_id,market_id,decision_at,settlement_at,side,observed_price,simulated_entry_price,shares,fees,cost,payout,pnl,cluster,availability_verified
base,692426,2884133,1788300000,1788494673,NO,0.939,0.949,10.49,0.0355393857,9.9905493857,10.49,0.4994506143,2026-09-01,False
base,722638,2992471,1788309000,1788503449,NO,0.94,0.95,10.48,0.03484600,9.99084600,10.48,0.48915400,2026-09-02,False
base,872183,3707314,1788368400,1788557341,NO,0.925,0.935,10.64,0.0452652200,9.9936652200,10.64,0.6463347800,2026-09-02,False
base,879965,3741410,1788393540,1788582931,NO,0.625,0.635,15.35,0.2490422375,9.9962922375,0.00,-9.9962922375,2026-09-02,False
base,879966,3741437,1788393540,1788579990,YES,0.8,0.81,12.18,0.13121514,9.99701514,12.18,2.18298486,2026-09-02,False
base,889995,3778642,1788487200,1788674881,NO,0.71,0.72,13.62,0.19220544,9.99860544,13.62,3.62139456,2026-09-04,False
base,478687,2244513,1788566400,1788859935,NO,0.815,0.825,11.97,0.1209718125,9.9962218125,11.97,1.9737781875,2026-09-05,False
base,782655,3270747,1788735600,1788924411,NO,0.76,0.77,12.78,0.15843366,9.99903366,12.78,2.78096634,2026-09-06,False
base,782664,3270772,1788735600,1788924450,NO,0.905,0.915,10.86,0.0591245550,9.9960245550,10.86,0.8639754450,2026-09-06,False
base,90375,704169,1788739200,1789026148,YES,0.835,0.845,11.70,0.1072685250,9.9937685250,0.00,-9.9937685250,2026-09-07,False
base,821602,3450092,1788799500,1788986451,NO,0.9695,0.9795,10.19,0.014322885675,9.995427885675,10.19,0.194572114325,2026-09-07,False
base,823417,3461862,1788879600,1789067029,NO,0.93,0.94,10.59,0.04180932,9.99640932,10.59,0.59359068,2026-09-08,False
base,823383,3461706,1788886800,1789073836,NO,0.715,0.725,13.53,0.1888280625,9.9980780625,13.53,3.5319219375,2026-09-08,False
base,823467,3462232,1788886800,1789073794,NO,0.765,0.775,12.70,0.1550193750,9.9975193750,12.70,2.7024806250,2026-09-08,False
base,823480,3462309,1788886800,1789073781,NO,0.925,0.935,10.64,0.0452652200,9.9936652200,0.00,-9.9936652200,2026-09-08,False
base,820160,3441290,1788893100,1789080210,YES,0.735,0.745,13.18,0.1752709350,9.9943709350,13.18,3.1856290650,2026-09-08,False
base,820204,3441590,1788893100,1789080241,NO,0.968,0.978,10.20,0.0153624240,9.9909624240,10.20,0.2090375760,2026-09-08,False
base,797398,3344412,1789002000,1789189134,NO,0.91,0.92,10.80,0.05564160,9.99164160,10.80,0.80835840,2026-09-10,False
base,905026,3849987,1789009200,1789196814,NO,0.935,0.945,10.54,0.0383471550,9.9986471550,10.54,0.5413528450,2026-09-10,False
base,645458,2723714,1789124400,1789311568,NO,0.9325,0.9425,10.56,0.040060020000,9.992860020000,10.56,0.567139980000,2026-09-11,False
base,641931,2712402,1789126500,1789313574,NO,0.72,0.73,13.44,0.18543168,9.99663168,13.44,3.44336832,2026-09-11,False
base,641933,2712408,1789126500,1789313605,NO,0.952,0.962,10.36,0.0265104112,9.9928304112,10.36,0.3671695888,2026-09-11,False
base,839250,3542662,1789257540,1789393374,NO,0.815,0.825,11.97,0.1209718125,9.9962218125,11.97,1.9737781875,2026-09-12,False
base,227989,1427557,1789344000,1789611729,NO,0.8395,0.8495,11.64,0.104171976300,9.992351976300,11.64,1.647648023700,2026-09-14,False
base,820157,3441283,1789411500,1789599444,NO,0.765,0.775,12.70,0.1550193750,9.9975193750,0.00,-9.9975193750,2026-09-14,False
base,820172,3441337,1789411500,1789599313,NO,0.9625,0.9725,10.26,0.019207361250,9.997057361250,10.26,0.262942638750,2026-09-14,False
base,820189,3441489,1789411500,1789599373,NO,0.94,0.95,10.48,0.03484600,9.99084600,10.48,0.48915400,2026-09-14,False
base,820193,3441528,1789411500,1789599373,NO,0.785,0.795,12.40,0.1414623000,9.9994623000,12.40,2.4005377000,2026-09-14,False
base,820196,3441538,1789411500,1789599346,NO,0.939,0.949,10.49,0.0355393857,9.9905493857,10.49,0.4994506143,2026-09-14,False
base,890511,3780629,1789434000,1789621486,NO,0.9535,0.9635,10.35,0.025479034875,9.997704034875,10.35,0.352295965125,2026-09-15,False
conservative,792430,3316975,1788278400,1788472231,NO,0.915,0.945,10.52,0.0546777000,9.9960777000,10.52,0.5239223000,2026-09-01,False
conservative,792448,3317068,1788285600,1788516180,NO,0.72,0.75,13.00,0.24375000,9.99375000,13.00,3.00625000,2026-09-01,False
